,standard_smiles,source
191,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,approved
192,CCC(C)(CN(C)C)OC(=O)c1ccccc1,approved
193,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,approved
194,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C,approved
195,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,approved
196,[Rb],approved
197,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,approved
198,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,approved
199,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,approved
200,[KH],approved
201,Cl[Tl],approved
202,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,approved
203,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,approved
204,[177Lu],approved
205,CN(C)CCOc1ccccc1Cc1ccccc1,approved
206,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,approved
207,CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1,approved
208,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,approved
209,CCCCOC(=O)c1ccc(N)cc1,approved
210,O=C(O)CCCC[C@@H]1CCSS1,approved
211,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,approved
212,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,approved
213,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,approved
214,O=C(O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)c1ccccc1,approved
215,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,approved
216,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,approved
217,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,approved
218,CCOC(=O)/C=C/c1ccc(O)c(OC)c1,approved
219,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,approved
220,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,approved
221,O=C1c2ccccc2C(=O)C1c1ccccc1,approved
222,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,approved
223,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,approved
224,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,approved
225,O=[N+]([O-])c1ccc(-c2ccccc2)cc1,approved
226,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,approved
227,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,approved
228,C=C[C@H]1C[N@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,approved
229,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)O)[C@@]2(C)C=CC(=O)C=C12,approved
230,NCCN,approved
231,Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,approved
232,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,approved
233,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,approved
234,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,approved
235,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,approved
236,Oc1c(I)cc(Cl)c2cccnc12,approved
237,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,approved
238,CCCCCCCC[N+](C)(C)CCCCCCCC,approved
239,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,approved
240,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,approved
241,CCCCCCCCCCCCCCCCCC(=O)O,approved
242,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,approved
243,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,approved
244,NCC(=O)O,approved
245,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccc(OC)cc1,approved
246,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,approved
247,Cl[111In](Cl)Cl,approved
248,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,approved
249,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,approved
250,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,approved
251,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C,approved
252,C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,approved
253,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,approved
254,CSCCC(N)C(=O)O,approved
255,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,approved
256,CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,approved
